,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P003L08_A_01,361,45,200,296
D019T01P003L08_A_02,546,38,82,396
D019T01P003L08_A_03,598,18,99,321
D019T01P003L08_A_04,472,34,98,544
D019T01P003L08_A_05,307,39,225,584
D019T01P003L08_A_06,462,14,218,448
D019T01P003L08_A_07,490,21,103,351
D019T01P003L08_A_08,502,21,78,287
D019T01P003L08_A_09,316,26,358,584
D019T01P003L08_A_10,579,29,107,361
D019T01P003L08_A_11,577,30,109,417
D019T01P003L08_A_12,346,28,363,588
D019T01P003L08_A_13,578,28,91,304
D019T01P003L08_A_14,235,6,753,600
D019T01P003L08_A_15,162,3,659,475
D019T01P003L08_A_16,600,34,130,424
D019T01P003L08_A_17,513,22,81,349
D019T01P003L08_A_18,509,33,87,349
D019T01P003L08_A_19,510,30,72,296
D019T01P003L08_A_20,438,26,166,478
D019T01P003L08_A_21,556,11,88,308
D019T01P003L08_A_22,519,24,77,305
D019T01P003L08_A_23,586,9,124,323
D019T01P003L08_A_24,594,18,83,263
D019T01P003L08_B_01,654,17,143,391
D019T01P003L08_B_02,116,19,420,381
D019T01P003L08_B_03,553,38,90,316
D019T01P003L08_B_04,537,32,110,346
D019T01P003L08_B_05,166,19,394,722
D019T01P003L08_B_06,681,29,108,392
D019T01P003L08_B_07,572,12,214,475
D019T01P003L08_B_08,544,67,74,473
D019T01P003L08_B_09,546,28,99,317
D019T01P003L08_B_10,622,32,119,433
D019T01P003L08_B_11,667,39,118,431
D019T01P003L08_B_12,671,28,166,490
D019T01P003L08_B_13,576,30,80,421
D019T01P003L08_B_14,670,20,119,404
D019T01P003L08_B_15,596,23,121,464
D019T01P003L08_B_16,605,23,212,561
D019T01P003L08_B_17,609,60,74,443
D019T01P003L08_B_18,595,27,128,382
D019T01P003L08_B_19,182,18,413,448
D019T01P003L08_B_20,442,7,413,410
D019T01P003L08_B_21,557,92,93,388
D019T01P003L08_B_22,351,49,336,834
D019T01P003L08_B_23,581,34,91,394
D019T01P003L08_B_24,530,22,88,273
D019T01P003L08_C_01,566,28,217,501
D019T01P003L08_C_02,396,15,319,737
D019T01P003L08_C_03,616,28,115,398
D019T01P003L08_C_04,656,33,99,423
D019T01P003L08_C_05,579,30,141,564
D019T01P003L08_C_06,616,37,72,382
D019T01P003L08_C_07,550,18,97,282
D019T01P003L08_C_08,496,31,76,315
D019T01P003L08_C_09,540,27,77,299
D019T01P003L08_C_10,474,22,93,354
D019T01P003L08_C_11,525,24,87,336
D019T01P003L08_C_12,249,83,165,916
D019T01P003L08_C_13,557,29,81,335
D019T01P003L08_C_14,543,24,92,279
D019T01P003L08_C_15,95,25,587,574
D019T01P003L08_C_16,483,14,69,267
D019T01P003L08_C_17,601,42,113,463
D019T01P003L08_C_18,529,23,111,352
D019T01P003L08_C_19,561,29,94,308
D019T01P003L08_C_20,590,17,145,433
D019T01P003L08_C_21,517,22,103,286
D019T01P003L08_C_22,607,22,114,365
D019T01P003L08_C_23,609,20,106,338
D019T01P003L08_C_24,625,36,97,357
D019T01P003L08_D_01,682,20,178,431
D019T01P003L08_D_02,627,18,107,395
D019T01P003L08_D_03,625,57,107,408
D019T01P003L08_D_04,677,25,135,403
D019T01P003L08_D_05,642,42,140,429
D019T01P003L08_D_06,625,34,112,431
D019T01P003L08_D_07,658,36,132,371
D019T01P003L08_D_08,495,28,94,337
D019T01P003L08_D_09,544,46,110,563
D019T01P003L08_D_10,689,32,123,482
D019T01P003L08_D_11,527,18,93,269
D019T01P003L08_D_12,632,54,109,583
D019T01P003L08_D_13,523,13,90,279
D019T01P003L08_D_14,568,25,104,291
D019T01P003L08_D_15,585,24,102,393
D019T01P003L08_D_16,514,33,153,576
D019T01P003L08_D_17,664,20,125,375
D019T01P003L08_D_18,530,27,90,345
D019T01P003L08_D_19,708,19,154,439
D019T01P003L08_D_20,634,30,105,440
D019T01P003L08_D_21,454,21,103,357
D019T01P003L08_D_22,634,22,125,346
D019T01P003L08_D_23,676,19,124,380
D019T01P003L08_D_24,627,20,84,364
D019T01P003L08_E_01,571,40,115,406
D019T01P003L08_E_02,572,27,142,513
D019T01P003L08_E_03,697,32,139,505
D019T01P003L08_E_04,558,58,157,644
D019T01P003L08_E_05,612,24,139,468
D019T01P003L08_E_06,655,23,114,365
D019T01P003L08_E_07,609,33,123,428
D019T01P003L08_E_08,287,49,314,1096
D019T01P003L08_E_09,605,24,140,397
D019T01P003L08_E_10,716,13,122,430
D019T01P003L08_E_11,671,8,161,520
D019T01P003L08_E_12,682,35,117,391
D019T01P003L08_E_13,597,33,105,340
D019T01P003L08_E_14,635,25,151,434
D019T01P003L08_E_15,616,27,104,342
D019T01P003L08_E_16,639,31,123,491
D019T01P003L08_E_17,672,25,134,429
D019T01P003L08_E_18,653,39,115,391
D019T01P003L08_E_19,701,19,128,351
D019T01P003L08_E_20,63,2,569,488
D019T01P003L08_E_21,590,22,125,339
