,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P009L02_A_01,158,26,38,151
M001A03P009L02_A_02,162,30,12,91
M001A03P009L02_A_03,188,20,35,122
M001A03P009L02_A_04,173,18,27,63
M001A03P009L02_A_05,179,11,26,92
M001A03P009L02_A_06,164,17,35,86
M001A03P009L02_A_07,158,13,32,103
M001A03P009L02_A_08,179,29,36,117
M001A03P009L02_A_09,160,11,31,90
M001A03P009L02_A_10,165,12,21,108
M001A03P009L02_A_11,170,19,30,110
M001A03P009L02_A_12,222,13,99,119
M001A03P009L02_A_13,148,24,14,115
M001A03P009L02_A_14,129,31,100,185
M001A03P009L02_A_15,134,22,21,144
M001A03P009L02_A_16,172,20,28,113
M001A03P009L02_A_17,196,34,77,146
M001A03P009L02_A_18,125,26,13,199
M001A03P009L02_A_19,164,17,21,80
M001A03P009L02_A_20,186,20,32,88
M001A03P009L02_A_21,137,20,20,106
M001A03P009L02_A_22,144,16,24,81
M001A03P009L02_A_23,157,17,22,77
M001A03P009L02_A_24,153,17,27,88
M001A03P009L02_B_01,187,28,23,67
M001A03P009L02_B_02,164,14,26,97
M001A03P009L02_B_03,176,25,23,77
M001A03P009L02_B_04,163,29,32,100
M001A03P009L02_B_05,166,20,27,102
M001A03P009L02_B_06,140,18,70,88
M001A03P009L02_B_07,136,22,96,146
M001A03P009L02_B_08,147,14,19,89
M001A03P009L02_B_09,170,34,43,100
M001A03P009L02_B_10,154,14,14,65
M001A03P009L02_B_11,180,11,32,97
M001A03P009L02_B_12,148,19,19,89
M001A03P009L02_B_13,148,13,21,70
M001A03P009L02_B_14,151,19,15,91
M001A03P009L02_B_15,131,24,104,169
M001A03P009L02_B_16,155,15,24,82
M001A03P009L02_B_17,143,33,66,196
M001A03P009L02_B_18,151,19,19,69
M001A03P009L02_B_19,200,17,16,81
M001A03P009L02_B_20,157,17,16,79
M001A03P009L02_B_21,136,31,20,100
M001A03P009L02_B_22,154,19,19,71
M001A03P009L02_B_23,162,19,19,86
M001A03P009L02_B_24,161,21,18,62
M001A03P009L02_C_01,149,26,19,130
M001A03P009L02_C_02,153,17,22,84
M001A03P009L02_C_03,156,14,36,117
M001A03P009L02_C_04,160,20,17,104
M001A03P009L02_C_05,149,30,14,160
M001A03P009L02_C_06,164,30,10,91
M001A03P009L02_C_07,168,22,45,83
M001A03P009L02_C_08,159,27,27,98
M001A03P009L02_C_09,172,24,49,143
M001A03P009L02_C_10,161,24,30,107
M001A03P009L02_C_11,186,17,19,100
M001A03P009L02_C_12,154,24,16,70
M001A03P009L02_C_13,171,17,31,88
M001A03P009L02_C_14,164,28,15,107
M001A03P009L02_C_15,168,12,22,92
M001A03P009L02_C_16,165,24,23,121
M001A03P009L02_C_17,152,21,26,100
M001A03P009L02_C_18,179,26,66,232
M001A03P009L02_C_19,150,18,21,100
M001A03P009L02_C_20,166,15,39,80
M001A03P009L02_C_21,154,28,28,153
M001A03P009L02_C_22,150,20,14,98
M001A03P009L02_C_23,150,15,6,65
M001A03P009L02_C_24,161,13,27,94
M001A03P009L02_D_01,232,24,21,65
M001A03P009L02_D_02,164,31,19,136
M001A03P009L02_D_03,133,54,21,478
M001A03P009L02_D_04,155,19,19,155
M001A03P009L02_D_05,164,17,28,100
M001A03P009L02_D_06,162,20,30,90
M001A03P009L02_D_07,164,34,36,128
M001A03P009L02_D_08,173,16,22,77
M001A03P009L02_D_09,163,54,70,106
M001A03P009L02_D_10,139,27,40,77
M001A03P009L02_D_11,139,22,15,100
M001A03P009L02_D_12,152,20,18,98
M001A03P009L02_D_13,157,22,25,121
M001A03P009L02_D_14,146,13,20,91
M001A03P009L02_D_15,132,37,59,159
M001A03P009L02_D_16,153,17,20,86
M001A03P009L02_D_17,155,13,35,79
M001A03P009L02_D_18,149,28,16,102
M001A03P009L02_D_19,152,58,45,116
M001A03P009L02_D_20,146,15,23,88
M001A03P009L02_D_21,150,17,19,93
M001A03P009L02_D_22,150,30,19,84
M001A03P009L02_D_23,150,18,21,101
M001A03P009L02_D_24,143,9,23,99
M001A03P009L02_E_01,188,15,211,246
M001A03P009L02_E_02,152,19,19,108
M001A03P009L02_E_03,165,23,68,101
M001A03P009L02_E_04,159,25,9,128
M001A03P009L02_E_05,173,28,117,168
M001A03P009L02_E_06,169,29,16,123
M001A03P009L02_E_07,145,22,26,142
M001A03P009L02_E_08,146,27,14,77
M001A03P009L02_E_09,175,15,19,92
M001A03P009L02_E_10,157,12,23,128
M001A03P009L02_E_11,137,9,121,152
M001A03P009L02_E_12,142,35,16,103
M001A03P009L02_E_13,163,18,21,97
M001A03P009L02_E_14,168,17,23,110
M001A03P009L02_E_15,138,30,33,202
M001A03P009L02_E_16,179,21,17,78
M001A03P009L02_E_17,176,24,20,146
M001A03P009L02_E_18,164,22,27,93
M001A03P009L02_E_19,152,15,20,81
M001A03P009L02_E_20,208,21,18,114
M001A03P009L02_E_21,249,107,199,1123
M001A03P009L02_E_22,148,18,17,83
M001A03P009L02_E_23,171,16,24,93
M001A03P009L02_E_24,146,13,18,81
M001A03P009L02_F_01,154,28,22,140
M001A03P009L02_F_02,168,16,32,94
M001A03P009L02_F_03,162,14,30,98
M001A03P009L02_F_04,169,24,17,99
M001A03P009L02_F_05,140,30,15,109
M001A03P009L02_F_06,164,25,24,74
M001A03P009L02_F_07,179,28,164,256
M001A03P009L02_F_08,150,15,20,97
M001A03P009L02_F_09,184,18,18,76
M001A03P009L02_F_10,191,40,38,160
M001A03P009L02_F_11,149,25,23,147
M001A03P009L02_F_12,158,20,15,88
M001A03P009L02_F_13,142,28,20,122
M001A03P009L02_F_14,167,17,16,105
M001A03P009L02_F_15,170,21,71,98
M001A03P009L02_F_16,147,21,18,89
M001A03P009L02_F_17,140,40,20,130
M001A03P009L02_F_18,141,19,15,53
M001A03P009L02_F_19,170,23,16,90
M001A03P009L02_F_20,159,18,17,87
M001A03P009L02_F_21,143,28,9,110
M001A03P009L02_F_22,137,23,19,68
M001A03P009L02_F_23,144,16,23,65
M001A03P009L02_F_24,136,29,20,145
M001A03P009L02_G_01,154,12,50,93
M001A03P009L02_G_02,155,16,26,116
M001A03P009L02_G_03,157,25,95,168
M001A03P009L02_G_04,184,22,20,132
M001A03P009L02_G_05,177,15,23,104
M001A03P009L02_G_06,166,17,36,95
M001A03P009L02_G_07,158,32,19,155
M001A03P009L02_G_08,153,13,24,103
M001A03P009L02_G_09,175,30,43,129
M001A03P009L02_G_10,189,32,21,217
M001A03P009L02_G_11,163,29,26,181
M001A03P009L02_G_12,148,27,15,75
M001A03P009L02_G_13,158,21,16,120
M001A03P009L02_G_14,167,21,25,89
M001A03P009L02_G_15,152,29,19,132
M001A03P009L02_G_16,159,17,23,92
M001A03P009L02_G_17,181,39,108,162
M001A03P009L02_G_18,154,12,22,67
M001A03P009L02_G_19,124,32,19,121
M001A03P009L02_G_20,154,15,39,95
M001A03P009L02_G_21,174,19,18,102
M001A03P009L02_G_22,180,39,78,150
M001A03P009L02_G_23,157,14,21,62
M001A03P009L02_G_24,145,22,16,74
M001A03P009L02_H_01,150,17,29,98
M001A03P009L02_H_02,130,37,20,182
M001A03P009L02_H_03,167,21,21,96
M001A03P009L02_H_04,186,14,13,66
M001A03P009L02_H_05,158,25,19,87
M001A03P009L02_H_06,154,16,15,86
M001A03P009L02_H_07,174,39,37,127
M001A03P009L02_H_08,165,14,21,91
M001A03P009L02_H_09,167,24,16,128
M001A03P009L02_H_10,155,29,22,148
M001A03P009L02_H_11,184,17,32,111
M001A03P009L02_H_12,143,22,22,95
M001A03P009L02_H_13,176,19,32,93
M001A03P009L02_H_14,141,40,37,125
M001A03P009L02_H_15,178,38,23,130
M001A03P009L02_H_16,149,22,22,96
M001A03P009L02_H_17,157,37,12,142
M001A03P009L02_H_18,161,25,18,75
M001A03P009L02_H_19,153,18,19,96
M001A03P009L02_H_20,152,15,18,78
M001A03P009L02_H_21,136,25,64,120
M001A03P009L02_H_22,163,17,16,75
M001A03P009L02_H_23,158,12,17,83
M001A03P009L02_H_24,184,24,20,103
M001A03P009L02_I_01,165,11,21,75
M001A03P009L02_I_02,153,25,21,109
M001A03P009L02_I_03,165,20,44,91
M001A03P009L02_I_04,134,18,12,97
M001A03P009L02_I_05,153,18,106,198
M001A03P009L02_I_06,153,20,19,101
M001A03P009L02_I_07,149,33,15,131
M001A03P009L02_I_08,165,17,16,80
M001A03P009L02_I_09,154,23,24,114
M001A03P009L02_I_10,171,18,21,76
M001A03P009L02_I_11,152,24,30,98
M001A03P009L02_I_12,157,16,29,99
M001A03P009L02_I_13,155,19,17,98
M001A03P009L02_I_14,149,22,17,77
M001A03P009L02_I_15,145,28,16,166
M001A03P009L02_I_16,151,27,9,81
M001A03P009L02_I_17,149,27,19,70
M001A03P009L02_I_18,176,19,58,107
M001A03P009L02_I_19,143,27,17,86
M001A03P009L02_I_20,148,15,16,84
M001A03P009L02_I_21,148,27,19,90
M001A03P009L02_I_22,141,36,36,183
M001A03P009L02_I_23,143,17,21,67
M001A03P009L02_I_24,147,27,16,84
M001A03P009L02_J_01,133,40,29,154
M001A03P009L02_J_02,157,21,27,108
M001A03P009L02_J_03,163,25,30,132
M001A03P009L02_J_04,144,18,23,93
M001A03P009L02_J_05,139,21,21,96
M001A03P009L02_J_06,149,23,19,102
M001A03P009L02_J_07,192,29,18,110
M001A03P009L02_J_08,161,25,21,103
M001A03P009L02_J_09,226,21,86,106
M001A03P009L02_J_10,157,15,30,98
M001A03P009L02_J_11,147,23,42,126
M001A03P009L02_J_12,157,19,19,84
M001A03P009L02_J_13,153,20,19,88
M001A03P009L02_J_14,137,15,11,93
M001A03P009L02_J_15,148,23,24,86
M001A03P009L02_J_16,145,20,21,74
M001A03P009L02_J_17,143,46,7,250
M001A03P009L02_J_18,174,23,32,82
M001A03P009L02_J_19,148,17,27,53
M001A03P009L02_J_20,172,6,14,79
M001A03P009L02_J_21,141,14,23,83
M001A03P009L02_J_22,149,18,20,122
M001A03P009L02_J_23,157,16,16,81
M001A03P009L02_J_24,138,14,29,83
M001A03P009L02_K_01,164,24,13,99
M001A03P009L02_K_02,173,25,90,109
M001A03P009L02_K_03,177,18,135,196
M001A03P009L02_K_04,124,29,14,117
M001A03P009L02_K_05,165,28,30,88
M001A03P009L02_K_06,184,19,18,78
M001A03P009L02_K_07,144,18,38,82
M001A03P009L02_K_08,168,36,16,272
M001A03P009L02_K_09,134,21,21,127
M001A03P009L02_K_10,183,13,21,65
M001A03P009L02_K_11,153,27,20,133
M001A03P009L02_K_12,164,17,24,87
M001A03P009L02_K_13,173,9,28,94
M001A03P009L02_K_14,135,20,8,79
M001A03P009L02_K_15,137,20,37,79
M001A03P009L02_K_16,175,29,114,138
M001A03P009L02_K_17,166,12,23,102
M001A03P009L02_K_18,180,16,27,76
M001A03P009L02_K_19,148,18,28,86
M001A03P009L02_K_20,164,14,29,69
M001A03P009L02_K_21,182,15,29,81
M001A03P009L02_K_22,158,7,15,66
