,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001B04P004L03_A_01,159,49,118,163
M001B04P004L03_A_02,150,33,95,154
M001B04P004L03_A_03,130,25,174,169
M001B04P004L03_A_04,157,38,103,159
M001B04P004L03_A_05,122,25,116,129
M001B04P004L03_A_06,31,6,160,56
M001B04P004L03_A_07,36,2,177,29
M001B04P004L03_A_08,154,34,115,134
M001B04P004L03_A_09,102,19,130,116
M001B04P004L03_A_10,113,58,120,231
M001B04P004L03_A_11,128,46,116,79
M001B04P004L03_A_12,99,38,59,113
M001B04P004L03_A_13,111,19,152,110
M001B04P004L03_A_14,140,38,121,168
M001B04P004L03_A_15,131,53,111,195
M001B04P004L03_A_16,142,38,110,133
M001B04P004L03_A_17,82,25,59,74
M001B04P004L03_A_18,152,36,102,176
M001B04P004L03_A_19,110,33,141,152
M001B04P004L03_A_20,111,46,81,142
M001B04P004L03_A_21,104,28,94,83
M001B04P004L03_A_22,139,51,108,177
M001B04P004L03_A_23,149,40,91,203
M001B04P004L03_A_24,139,40,81,148
M001B04P004L03_B_01,137,29,173,165
M001B04P004L03_B_02,171,37,136,170
M001B04P004L03_B_03,150,23,176,83
M001B04P004L03_B_04,139,22,94,137
M001B04P004L03_B_05,52,11,143,43
M001B04P004L03_B_06,138,34,112,143
M001B04P004L03_B_07,94,35,127,107
M001B04P004L03_B_08,106,35,79,68
M001B04P004L03_B_09,127,33,148,102
M001B04P004L03_B_10,123,36,132,137
M001B04P004L03_B_11,83,3,256,26
M001B04P004L03_B_12,157,13,96,67
M001B04P004L03_B_13,155,46,120,182
M001B04P004L03_B_14,96,23,200,115
M001B04P004L03_B_15,134,30,93,127
M001B04P004L03_B_16,155,22,92,98
M001B04P004L03_B_17,137,17,140,92
M001B04P004L03_B_18,210,18,90,74
M001B04P004L03_B_19,127,29,111,134
M001B04P004L03_B_20,156,27,142,145
M001B04P004L03_B_21,165,42,134,172
M001B04P004L03_B_22,133,46,92,163
M001B04P004L03_B_23,153,43,99,187
M001B04P004L03_B_24,138,29,114,143
M001B04P004L03_C_01,132,37,75,146
M001B04P004L03_C_02,142,48,102,171
M001B04P004L03_C_03,185,10,156,91
M001B04P004L03_C_04,164,31,146,152
M001B04P004L03_C_05,77,17,133,61
M001B04P004L03_C_06,151,22,129,102
M001B04P004L03_C_07,87,52,169,156
M001B04P004L03_C_08,156,37,135,164
M001B04P004L03_C_09,122,37,168,167
M001B04P004L03_C_10,108,20,148,112
M001B04P004L03_C_11,151,24,117,111
M001B04P004L03_C_12,171,27,127,141
M001B04P004L03_C_13,128,52,99,191
M001B04P004L03_C_14,85,19,190,106
M001B04P004L03_C_15,90,29,178,125
M001B04P004L03_C_16,162,37,92,161
M001B04P004L03_C_17,119,41,138,145
M001B04P004L03_C_18,152,25,108,142
M001B04P004L03_C_19,162,28,117,142
M001B04P004L03_C_20,155,33,121,153
M001B04P004L03_C_21,131,23,138,89
M001B04P004L03_C_22,162,54,118,186
M001B04P004L03_C_23,141,30,94,115
M001B04P004L03_C_24,164,35,106,144
M001B04P004L03_D_01,104,44,75,107
M001B04P004L03_D_02,135,29,120,113
M001B04P004L03_D_03,177,34,135,148
M001B04P004L03_D_04,164,76,141,328
M001B04P004L03_D_05,145,27,124,159
M001B04P004L03_D_06,123,43,105,160
M001B04P004L03_D_07,152,31,102,158
M001B04P004L03_D_08,145,36,133,134
M001B04P004L03_D_09,115,28,137,85
M001B04P004L03_D_10,162,24,148,133
M001B04P004L03_D_11,139,37,114,145
M001B04P004L03_D_12,155,40,148,203
M001B04P004L03_D_13,166,47,164,180
M001B04P004L03_D_14,167,50,99,188
M001B04P004L03_D_15,183,48,144,204
M001B04P004L03_D_16,145,51,104,137
M001B04P004L03_D_17,133,52,96,138
M001B04P004L03_D_18,88,18,120,54
M001B04P004L03_D_19,185,28,93,125
M001B04P004L03_D_20,184,31,187,181
M001B04P004L03_D_21,154,38,116,129
M001B04P004L03_D_22,162,28,108,148
M001B04P004L03_D_23,148,24,111,141
