,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P014L07_A_01,139,29,33,38
M001K02P014L07_A_02,159,9,38,62
M001K02P014L07_A_03,180,16,38,84
M001K02P014L07_A_04,146,8,26,51
M001K02P014L07_A_05,160,12,29,62
M001K02P014L07_A_06,169,14,41,58
M001K02P014L07_A_07,173,9,61,119
M001K02P014L07_A_08,176,9,61,61
M001K02P014L07_A_09,154,11,27,75
M001K02P014L07_A_10,171,8,36,62
M001K02P014L07_A_11,134,28,120,157
M001K02P014L07_A_12,177,7,25,61
M001K02P014L07_A_13,154,9,28,29
M001K02P014L07_A_14,151,14,44,118
M001K02P014L07_A_15,178,9,33,61
M001K02P014L07_A_16,160,9,33,104
M001K02P014L07_A_17,160,9,63,65
M001K02P014L07_A_18,143,13,61,66
M001K02P014L07_A_19,131,20,24,72
M001K02P014L07_A_20,172,13,28,80
M001K02P014L07_A_21,153,11,40,98
M001K02P014L07_A_22,174,13,26,74
M001K02P014L07_A_23,139,18,58,76
M001K02P014L07_A_24,140,20,24,82
M001K02P014L07_B_01,147,12,25,54
M001K02P014L07_B_02,156,27,65,183
M001K02P014L07_B_03,176,12,18,92
M001K02P014L07_B_04,167,18,72,117
M001K02P014L07_B_05,160,12,51,119
M001K02P014L07_B_06,162,7,41,57
M001K02P014L07_B_07,172,5,39,44
M001K02P014L07_B_08,167,5,41,54
M001K02P014L07_B_09,172,7,21,48
M001K02P014L07_B_10,169,12,28,86
M001K02P014L07_B_11,139,13,19,51
M001K02P014L07_B_12,170,12,46,134
M001K02P014L07_B_13,168,13,43,59
M001K02P014L07_B_14,156,19,111,129
M001K02P014L07_B_15,175,14,34,86
M001K02P014L07_B_16,182,13,132,135
M001K02P014L07_B_17,148,9,23,59
M001K02P014L07_B_18,155,9,21,75
M001K02P014L07_B_19,147,14,28,76
M001K02P014L07_B_20,162,13,21,35
M001K02P014L07_B_21,149,11,49,58
M001K02P014L07_B_22,128,30,17,39
M001K02P014L07_B_23,171,22,54,87
M001K02P014L07_B_24,139,15,54,99
M001K02P014L07_C_01,149,22,56,131
M001K02P014L07_C_02,174,16,17,56
M001K02P014L07_C_03,147,18,166,179
M001K02P014L07_C_04,158,26,64,136
M001K02P014L07_C_05,160,12,31,80
M001K02P014L07_C_06,144,12,30,84
M001K02P014L07_C_07,176,18,22,81
M001K02P014L07_C_08,162,10,33,77
M001K02P014L07_C_09,158,12,33,72
M001K02P014L07_C_10,174,8,23,85
M001K02P014L07_C_11,181,14,84,153
M001K02P014L07_C_12,151,10,36,46
M001K02P014L07_C_13,176,12,71,91
M001K02P014L07_C_14,176,12,30,59
M001K02P014L07_C_15,169,8,33,81
M001K02P014L07_C_16,173,13,52,109
M001K02P014L07_C_17,159,16,45,108
M001K02P014L07_C_18,167,12,37,99
M001K02P014L07_C_19,158,16,15,47
M001K02P014L07_C_20,157,12,19,53
M001K02P014L07_C_21,176,9,35,74
M001K02P014L07_C_22,154,23,36,115
M001K02P014L07_C_23,54,64,5,40
M001K02P014L07_C_24,167,18,29,51
M001K02P014L07_D_01,139,20,35,64
M001K02P014L07_D_02,162,7,36,92
M001K02P014L07_D_03,152,12,57,102
M001K02P014L07_D_04,160,10,27,49
M001K02P014L07_D_05,175,12,41,122
M001K02P014L07_D_06,147,12,57,152
M001K02P014L07_D_07,174,12,43,79
M001K02P014L07_D_08,158,13,15,60
M001K02P014L07_D_09,170,7,32,52
M001K02P014L07_D_10,168,12,37,100
M001K02P014L07_D_11,181,18,58,134
M001K02P014L07_D_12,172,12,25,69
M001K02P014L07_D_13,151,8,44,69
M001K02P014L07_D_14,140,19,88,173
