,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P010L03_A_01,85,9,7,26
M001W01P010L03_A_02,67,21,0,31
M001W01P010L03_A_03,91,13,6,33
M001W01P010L03_A_04,67,27,2,26
M001W01P010L03_A_05,42,9,8,50
M001W01P010L03_A_06,23,2,4,83
M001W01P010L03_A_07,26,5,14,93
M001W01P010L03_A_08,72,23,2,14
M001W01P010L03_A_09,53,19,1,15
M001W01P010L03_A_10,88,14,4,37
M001W01P010L03_A_11,45,19,6,57
M001W01P010L03_A_12,95,7,8,21
M001W01P010L03_A_13,37,22,9,36
M001W01P010L03_A_14,82,14,11,26
M001W01P010L03_A_15,55,19,4,34
M001W01P010L03_A_16,89,11,3,25
M001W01P010L03_A_17,55,2,16,166
M001W01P010L03_A_18,102,8,3,32
M001W01P010L03_A_19,89,15,4,31
M001W01P010L03_A_20,82,12,6,25
M001W01P010L03_A_21,78,7,5,36
M001W01P010L03_A_22,103,8,9,24
M001W01P010L03_A_23,65,23,5,30
M001W01P010L03_A_24,104,16,4,31
M001W01P010L03_B_01,84,15,4,12
M001W01P010L03_B_02,80,14,5,27
M001W01P010L03_B_03,86,17,7,34
M001W01P010L03_B_04,78,15,7,18
M001W01P010L03_B_05,31,10,4,51
M001W01P010L03_B_06,45,12,5,21
M001W01P010L03_B_07,52,13,5,12
M001W01P010L03_B_08,80,7,4,40
M001W01P010L03_B_09,74,5,10,22
M001W01P010L03_B_10,62,20,2,33
M001W01P010L03_B_11,38,5,16,54
M001W01P010L03_B_12,101,10,6,23
M001W01P010L03_B_13,54,15,4,25
M001W01P010L03_B_14,40,10,4,15
M001W01P010L03_B_15,65,12,9,18
M001W01P010L03_B_16,73,11,12,44
M001W01P010L03_B_17,53,12,17,164
M001W01P010L03_B_18,80,14,4,22
M001W01P010L03_B_19,89,14,2,29
M001W01P010L03_B_20,52,13,3,25
M001W01P010L03_B_21,84,9,8,47
M001W01P010L03_B_22,38,23,2,19
M001W01P010L03_B_23,49,20,1,23
M001W01P010L03_B_24,52,20,1,23
M001W01P010L03_C_01,67,9,8,21
M001W01P010L03_C_02,76,11,4,19
M001W01P010L03_C_03,80,9,7,30
M001W01P010L03_C_04,69,13,4,30
