Product.Name,concentration,Well.ID,Num.Objects,Percent.Live,Percent.Dead,Median.Certainty.Live,Median.Certainty.Dead
Chrysophanic Acid,nan,A01,387,0.974160206718,0.0258397932817,0.87,0.57
Anacardic Acid,nan,A02,322,0.934782608696,0.0652173913043,0.87,0.74
LY2603618,nan,A03,359,0.559888579387,0.440111420613,0.66,0.685
DMSO,nan,A04,450,0.964444444444,0.0355555555556,0.87,0.57
PF-00562271,nan,A05,267,0.217228464419,0.782771535581,0.6,0.73
SC1,nan,A06,250,0.376,0.624,0.61,0.72
R547,nan,A07,279,0.204301075269,0.795698924731,0.61,0.77
DMSO,nan,A08,369,0.981029810298,0.0189701897019,0.88,0.55
TAK-901,nan,A09,351,0.39886039886,0.60113960114,0.61,0.74
PLX7904,nan,A10,407,0.980343980344,0.019656019656,0.87,0.545
TG101348 (SAR302503),nan,A11,345,0.150724637681,0.849275362319,0.6,0.82
DMSO,nan,A12,401,0.970074812968,0.0299251870324,0.87,0.625
Tivantinib (ARQ 197),nan,A13,404,0.262376237624,0.737623762376,0.61,0.78
Butein,nan,A14,332,0.987951807229,0.0120481927711,0.87,0.56
MK-2461,nan,A15,351,0.968660968661,0.031339031339,0.86,0.53
DMSO,nan,A16,375,0.978666666667,0.0213333333333,0.865,0.555
Dabrafenib (GSK2118436),nan,A17,359,0.972144846797,0.0278551532033,0.88,0.635
DMSO,nan,A18,373,0.983914209115,0.0160857908847,0.89,0.585
TPCA-1,nan,A19,393,0.819338422392,0.180661577608,0.75,0.64
DMSO,nan,A20,342,0.976608187135,0.0233918128655,0.87,0.685
IKK-16 (IKK Inhibitor VII),nan,A21,378,0.0555555555556,0.944444444444,0.585,0.81
DMSO,nan,A22,352,0.965909090909,0.0340909090909,0.88,0.585
DMSO,nan,A23,410,0.973170731707,0.0268292682927,0.87,0.58
DMSO,nan,A24,395,0.989873417722,0.0101265822785,0.87,0.55
PF-477736,nan,B01,458,0.412663755459,0.587336244541,0.64,0.68
Y-27632 2HCl,nan,B02,382,0.989528795812,0.0104712041885,0.89,0.625
Piceatannol,nan,B03,419,0.978520286396,0.0214797136038,0.84,0.6
Avagacestat (BMS-708163),nan,B04,401,0.970074812968,0.0299251870324,0.87,0.59
AP26113,nan,B05,338,0.144970414201,0.855029585799,0.59,0.82
TWS119,nan,B06,396,0.967171717172,0.0328282828283,0.88,0.62
PD168393,nan,B07,404,0.888613861386,0.111386138614,0.8,0.58
AZ 960,nan,B08,395,0.974683544304,0.0253164556962,0.84,0.56
RN486,nan,B09,395,0.964556962025,0.0354430379747,0.88,0.575
MK-0752,nan,B10,400,0.965,0.035,0.87,0.56
AZD3463,nan,B11,434,0.177419354839,0.822580645161,0.6,0.8
CHIR-98014,nan,B12,519,0.425818882466,0.574181117534,0.65,0.69
SSR128129E,nan,B13,414,0.98309178744,0.0169082125604,0.87,0.67
WHI-P154,nan,B14,393,0.982188295165,0.0178117048346,0.87,0.57
GF109203X,nan,B15,362,0.82044198895,0.17955801105,0.78,0.62
IWR-1-endo,nan,B16,362,0.972375690608,0.0276243093923,0.85,0.595
FRAX597,nan,B17,538,0.204460966543,0.795539033457,0.58,0.71
BIO,nan,B18,393,0.949109414758,0.0508905852417,0.82,0.55
TG003,nan,B19,412,0.96359223301,0.0364077669903,0.875,0.61
K02288,nan,B20,409,0.953545232274,0.0464547677262,0.85,0.6
KN-62,nan,B21,432,0.965277777778,0.0347222222222,0.86,0.65
Filgotinib (GLPG0634),nan,B22,409,0.963325183374,0.0366748166259,0.85,0.6
DMSO,nan,B23,397,0.977329974811,0.0226700251889,0.87,0.57
DMSO,nan,B24,401,0.970074812968,0.0299251870324,0.84,0.57
Phenformin HCl,nan,C01,417,0.930455635492,0.0695443645084,0.81,0.54
Filgotinib (GLPG0634),nan,C02,399,0.977443609023,0.0225563909774,0.87,0.67
DCC-2036 (Rebastinib),nan,C03,366,0.846994535519,0.153005464481,0.76,0.565
DMSO,nan,C04,367,0.978201634877,0.0217983651226,0.85,0.545
Trametinib (GSK1120212),nan,C05,422,0.81990521327,0.18009478673,0.71,0.63
SU6656,nan,C06,446,0.804932735426,0.195067264574,0.675,0.6
WAY-600,nan,C07,391,0.831202046036,0.168797953964,0.78,0.635
DMSO,nan,C08,415,0.978313253012,0.021686746988,0.87,0.57
AMG-900,nan,C09,644,0.364906832298,0.635093167702,0.61,0.68
AZD3759,nan,C10,391,0.900255754476,0.0997442455243,0.835,0.67
PHA-767491,nan,C11,408,0.147058823529,0.852941176471,0.59,0.78
DMSO,nan,C12,427,0.953161592506,0.0468384074941,0.86,0.605
Varlitinib,nan,C13,411,0.961070559611,0.0389294403893,0.87,0.54
GDC-0349,nan,C14,420,0.85,0.15,0.73,0.62
AZD2014,nan,C15,348,0.807471264368,0.192528735632,0.69,0.62
DMSO,nan,C16,411,0.973236009732,0.0267639902676,0.87,0.58
GDC-0068,nan,C17,413,0.89588377724,0.10411622276,0.77,0.57
DMSO,nan,C18,416,0.975961538462,0.0240384615385,0.88,0.615
SAR131675,nan,C19,455,0.975824175824,0.0241758241758,0.84,0.59
DMSO,nan,C20,397,0.969773299748,0.0302267002519,0.86,0.615
PF-562271,nan,C21,363,0.30303030303,0.69696969697,0.61,0.72
DMSO,nan,C22,404,0.967821782178,0.0321782178218,0.88,0.57
DMSO,nan,C23,419,0.973747016706,0.0262529832936,0.88,0.6
DMSO,nan,C24,385,0.976623376623,0.0233766233766,0.88,0.68
Go 6983,nan,D01,399,0.731829573935,0.268170426065,0.72,0.64
Enzastaurin (LY317615),nan,D02,286,0.912587412587,0.0874125874126,0.81,0.69
Schisandrin B (Sch B),nan,D03,397,0.979848866499,0.0201511335013,0.875,0.6
Ruxolitinib (INCB018424),nan,D04,400,0.9625,0.0375,0.87,0.54
AZD2932,nan,D05,405,0.97037037037,0.0296296296296,0.82,0.54
Semagacestat (LY450139),nan,D06,435,0.965517241379,0.0344827586207,0.87,0.59
CX-6258 HCl,nan,D07,384,0.966145833333,0.0338541666667,0.84,0.61
DAPT (GSI-IX),nan,D08,433,0.965357967667,0.0346420323326,0.86,0.62
LDK378,nan,D09,351,0.413105413105,0.586894586895,0.61,0.745
ICG-001,nan,D10,390,0.966666666667,0.0333333333333,0.86,0.57
NU6027,nan,D11,414,0.98309178744,0.0169082125604,0.88,0.58
GW788388,nan,D12,397,0.984886649874,0.0151133501259,0.86,0.57
AVL-292,nan,D13,441,0.988662131519,0.0113378684807,0.86,0.53
S-Ruxolitinib (INCB018424),nan,D14,388,0.976804123711,0.0231958762887,0.88,0.54
GSK650394,nan,D15,404,0.972772277228,0.0272277227723,0.88,0.55
SANT-1,nan,D16,411,0.968369829684,0.0316301703163,0.86,0.58
CO-1686 (AVL-301),nan,D17,408,0.985294117647,0.0147058823529,0.895,0.635
Ro 31-8220 Mesylate,nan,D18,418,0.33014354067,0.66985645933,0.59,0.67
ERK5-IN-1,nan,D19,380,0.457894736842,0.542105263158,0.61,0.63
AR-A014418,nan,D20,410,0.970731707317,0.0292682926829,0.86,0.59
KN-93 Phosphate,nan,D21,450,0.973333333333,0.0266666666667,0.87,0.58
STA-21,nan,D22,405,0.972839506173,0.0271604938272,0.87,0.6
DMSO,nan,D23,397,0.964735516373,0.0352644836272,0.85,0.57
DMSO,nan,D24,401,0.97506234414,0.0249376558603,0.89,0.585
Daphnetin,nan,E01,409,0.977995110024,0.0220048899756,0.85,0.58
LDN-214117,nan,E02,434,0.914746543779,0.0852534562212,0.84,0.62
CCT128930,nan,E03,416,0.966346153846,0.0336538461538,0.86,0.625
DMSO,nan,E04,411,0.968369829684,0.0316301703163,0.88,0.58
Flavopiridol HCl,nan,E05,284,0.19014084507,0.80985915493,0.58,0.81
Akti-1/2,nan,E06,377,0.941644562334,0.0583554376658,0.775,0.58
TG101209,nan,E07,477,0.138364779874,0.861635220126,0.6,0.83
DMSO,nan,E08,407,0.970515970516,0.029484029484,0.87,0.56
ZM 336372,nan,E09,375,0.970666666667,0.0293333333333,0.85,0.54
VPS34-IN1,nan,E10,418,0.88995215311,0.11004784689,0.76,0.655
PF-04691502,nan,E11,246,0.686991869919,0.313008130081,0.64,0.65
DMSO,nan,E12,378,0.965608465608,0.0343915343915,0.84,0.58
CUDC-907,nan,E13,178,0.151685393258,0.848314606742,0.6,0.8
"Cobimetinib (GDC-0973, RG7420)",nan,E14,402,0.621890547264,0.378109452736,0.63,0.63
TAK-285,nan,E15,373,0.975871313673,0.0241286863271,0.87,0.63
DMSO,nan,E16,370,0.975675675676,0.0243243243243,0.87,0.57
INK 128 (MLN0128),nan,E17,366,0.68306010929,0.31693989071,0.65,0.63
DMSO,nan,E18,387,0.963824289406,0.0361757105943,0.88,0.58
BI-D1870,nan,E19,399,0.959899749373,0.0401002506266,0.87,0.62
DMSO,nan,E20,417,0.971223021583,0.0287769784173,0.87,0.555
GW441756,nan,E21,383,0.97911227154,0.0208877284595,0.83,0.54
DMSO,nan,E22,371,0.970350404313,0.0296495956873,0.88,0.62
DMSO,nan,E23,411,0.980535279805,0.0194647201946,0.86,0.58
DMSO,nan,E24,396,0.962121212121,0.0378787878788,0.88,0.6
BAY 11-7082,nan,F01,404,0.977722772277,0.0222772277228,0.87,0.64
SB431542,nan,F02,425,0.983529411765,0.0164705882353,0.85,0.56
Cabozantinib malate (XL184),nan,F03,382,0.96335078534,0.0366492146597,0.86,0.595
Thiazovivin,nan,F04,368,0.978260869565,0.0217391304348,0.88,0.575
"MEK162 (ARRY-162, ARRY-438162)",nan,F05,392,0.823979591837,0.176020408163,0.7,0.63
Theophylline,nan,F06,373,0.967828418231,0.0321715817694,0.875,0.64
AZ20,nan,F07,296,0.27027027027,0.72972972973,0.58,0.75
CYT387,nan,F08,380,0.968421052632,0.0315789473684,0.84,0.6
GSK2334470,nan,F09,352,0.860795454545,0.139204545455,0.74,0.62
NVP-BSK805 2HCl,nan,F10,434,0.958525345622,0.0414746543779,0.83,0.625
MLN2480,nan,F11,416,0.975961538462,0.0240384615385,0.88,0.53
PF-5274857,nan,F12,375,0.989333333333,0.0106666666667,0.87,0.57
SKI II,nan,F13,382,0.979057591623,0.020942408377,0.88,0.525
Pirfenidone,nan,F14,418,0.980861244019,0.0191387559809,0.87,0.55
Skepinone-L,nan,F15,405,0.972839506173,0.0271604938272,0.88,0.62
KY02111,nan,F16,411,0.992700729927,0.00729927007299,0.88,0.53
PFK15,nan,F17,375,0.968,0.032,0.88,0.595
GF109203X,nan,F18,341,0.821114369501,0.178885630499,0.81,0.64
URMC-099,nan,F19,411,0.980535279805,0.0194647201946,0.87,0.58
FH535,nan,F20,432,0.93287037037,0.0671296296296,0.78,0.56
AR-A014418,nan,F21,400,0.9825,0.0175,0.88,0.6
ZM 39923 HCl,nan,F22,380,0.981578947368,0.0184210526316,0.88,0.58
DMSO,nan,F23,384,0.979166666667,0.0208333333333,0.88,0.605
DMSO,nan,F24,429,0.974358974359,0.025641025641,0.87,0.62
TAK-733,nan,G01,462,0.720779220779,0.279220779221,0.66,0.63
SU9516,nan,G02,406,0.684729064039,0.315270935961,0.66,0.62
A66,nan,G03,412,0.93932038835,0.0606796116505,0.84,0.59
DMSO,nan,G04,394,0.964467005076,0.0355329949239,0.88,0.58
Ibrutinib (PCI-32765),nan,G05,367,0.970027247956,0.0299727520436,0.865,0.61
Purvalanol A,nan,G06,414,0.93961352657,0.06038647343,0.78,0.59
GDC-0980 (RG7422),nan,G07,369,0.550135501355,0.449864498645,0.6,0.6
DMSO,nan,G08,396,0.974747474747,0.0252525252525,0.87,0.57
PH-797804,nan,G09,429,0.969696969697,0.030303030303,0.86,0.58
Entrectinib (RXDX-101),nan,G10,411,0.953771289538,0.0462287104623,0.83,0.56
