"","cell_line","treatment","time","concentration","cell_count"
"1","D004T01","AZD 5363",96,1,5494
"2","D004T01","Dasatinib",96,0.0016,10486
"3","D004T01","Defactinib",96,0.0016,NA
"4","D004T01","Trifluoridin/Tipiracil",96,0.0016,12592
"5","D004T01","Miglitol",96,1,11874
"6","D004T01","Volasertib",96,0.2,4788
"7","D004T01","Venetoclax",96,0.0016,8259
"8","D004T01","Binimetinib",96,1,2394
"9","D004T01","Methotrexate",96,1,NA
"10","D004T01","Vorinostat",96,0.04,13478
"11","D004T01","Bleomycin",96,0.2,8008
"12","D004T01","Erlotinib",96,0.0016,7996
"13","D004T01","PRI-724",96,0.008,NA
"14","D004T01","Staurosporine_500nM",96,0,NA
"15","D004T01","Trametinib",96,1,1185
"16","D004T01","GSK2636771",96,0.008,9061
"17","D004T01","Napabucasin",96,0.04,NA
"18","D004T01","MK-1775",96,0.008,NA
"19","D004T01","YM155",96,1,407
"20","D004T01","Birinapant",96,0.2,9899
"21","D004T01","Ruxolitinib",96,0.008,9995
"22","D004T01","Vorinostat",96,0.008,NA
"23","D004T01","Bexaroten",96,0.04,NA
"24","D004T01","MK-8776",96,0.2,8882
"25","D004T01","Vismodegib",96,0.0016,9528
"26","D004T01","Pazopanib",96,1,9624
"27","D004T01","Alpelisib",96,0.2,10234
"28","D004T01","VX-702",96,0.2,9109
"29","D004T01","Trifluoridin/Tipiracil",96,0.008,NA
"30","D004T01","MK-1775",96,0.04,7182
"31","D004T01","Axitinib",96,0.2,10713
"32","D004T01","Taselisib",96,0.2,NA
"33","D004T01","Docetaxel",96,0.04,6296
"34","D004T01","Alisertib",96,1,7278
"35","D004T01","Sonidegib",96,0.008,11072
"36","D004T01","Alisertib",96,0.0016,9313
"37","D004T01","Regorafenib",96,1,2717
"38","D004T01","DMSO",96,0,9193
"39","D004T01","Nutlin3a",96,0.0016,8822
"40","D004T01","MK-1775",96,0.2,4429
"41","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.008,NA
"42","D004T01","DMSO",96,0,NA
"43","D004T01","Dacarbazine",96,0.04,8116
"44","D004T01","Idelalisib",96,0.008,8906
"45","D004T01","Birinapant",96,1,NA
"46","D004T01","Irinotecan mit 5-FU",96,1,335
"47","D004T01","MK-8776",96,0.008,8918
"48","D004T01","17AAG",96,1,120
"49","D004T01","Panobinostat",96,0.0016,12604
"50","D004T01","Sunitinib",96,0.04,8630
"51","D004T01","Staurosporine_500nM",96,0,NA
"52","D004T01","5-FU",96,1,6524
"53","D004T01","Mitomycin C",96,1,227
"54","D004T01","Oxaliplatin",96,0.008,9432
"55","D004T01","Ponatinib",96,0.008,NA
"56","D004T01","Nutlin3a",96,1,2179
"57","D004T01","Defactinib",96,0.008,9013
"58","D004T01","PRI-724",96,1,9241
"59","D004T01","Sunitinib",96,0.0016,9923
"60","D004T01","Pazopanib",96,0.0016,8726
"61","D004T01","Staurosporine_500nM",96,0,2502
"62","D004T01","5-FU",96,0.04,8355
"63","D004T01","Miglitol",96,0.2,8870
"64","D004T01","AZD 5363",96,0.008,10210
"65","D004T01","AZD 4547",96,1,8594
