name,class,channel
x.0.m.cx,moment,mask
x.0.m.cy,moment,mask
x.0.m.majoraxis,moment,mask
x.0.m.eccentricity,moment,mask
x.0.m.theta,moment,mask
x.0.s.area,shape,mask
x.0.s.perimeter,shape,mask
x.0.s.radius.mean,shape,mask
x.0.s.radius.sd,shape,mask
x.0.s.radius.min,shape,mask
x.0.s.radius.max,shape,mask
x.a.b.mean,basic,actin
x.a.b.sd,basic,actin
x.a.b.mad,basic,actin
x.a.b.q001,basic,actin
x.a.b.q005,basic,actin
x.a.b.q05,basic,actin
x.a.b.q095,basic,actin
x.a.b.q099,basic,actin
x.a.m.cx,moment,actin
x.a.m.cy,moment,actin
x.a.m.majoraxis,moment,actin
x.a.m.eccentricity,moment,actin
x.a.m.theta,moment,actin
x.a.h.asm.s1,haralick,actin
x.a.h.con.s1,haralick,actin
x.a.h.cor.s1,haralick,actin
x.a.h.var.s1,haralick,actin
x.a.h.idm.s1,haralick,actin
x.a.h.sav.s1,haralick,actin
x.a.h.sva.s1,haralick,actin
x.a.h.sen.s1,haralick,actin
x.a.h.ent.s1,haralick,actin
x.a.h.dva.s1,haralick,actin
x.a.h.den.s1,haralick,actin
x.a.h.f12.s1,haralick,actin
x.a.h.f13.s1,haralick,actin
x.a.h.asm.s2,haralick,actin
x.a.h.con.s2,haralick,actin
x.a.h.cor.s2,haralick,actin
x.a.h.var.s2,haralick,actin
x.a.h.idm.s2,haralick,actin
x.a.h.sav.s2,haralick,actin
x.a.h.sva.s2,haralick,actin
x.a.h.sen.s2,haralick,actin
x.a.h.ent.s2,haralick,actin
x.a.h.dva.s2,haralick,actin
x.a.h.den.s2,haralick,actin
x.a.h.f12.s2,haralick,actin
x.a.h.f13.s2,haralick,actin
x.a.h.asm.s4,haralick,actin
x.a.h.con.s4,haralick,actin
x.a.h.cor.s4,haralick,actin
x.a.h.var.s4,haralick,actin
x.a.h.idm.s4,haralick,actin
x.a.h.sav.s4,haralick,actin
x.a.h.sva.s4,haralick,actin
x.a.h.sen.s4,haralick,actin
x.a.h.ent.s4,haralick,actin
x.a.h.dva.s4,haralick,actin
x.a.h.den.s4,haralick,actin
x.a.h.f12.s4,haralick,actin
x.a.h.f13.s4,haralick,actin
x.a.h.asm.s8,haralick,actin
x.a.h.con.s8,haralick,actin
x.a.h.cor.s8,haralick,actin
x.a.h.var.s8,haralick,actin
x.a.h.idm.s8,haralick,actin
x.a.h.sav.s8,haralick,actin
x.a.h.sva.s8,haralick,actin
x.a.h.sen.s8,haralick,actin
x.a.h.ent.s8,haralick,actin
x.a.h.dva.s8,haralick,actin
x.a.h.den.s8,haralick,actin
x.a.h.f12.s8,haralick,actin
x.a.h.f13.s8,haralick,actin
x.a.h.asm.s16,haralick,actin
x.a.h.con.s16,haralick,actin
x.a.h.cor.s16,haralick,actin
x.a.h.var.s16,haralick,actin
x.a.h.idm.s16,haralick,actin
x.a.h.sav.s16,haralick,actin
x.a.h.sva.s16,haralick,actin
x.a.h.sen.s16,haralick,actin
x.a.h.ent.s16,haralick,actin
x.a.h.dva.s16,haralick,actin
x.a.h.den.s16,haralick,actin
x.a.h.f12.s16,haralick,actin
x.a.h.f13.s16,haralick,actin
x.b.b.mean,basic,cell_event
x.b.b.sd,basic,cell_event
x.b.b.mad,basic,cell_event
x.b.b.q001,basic,cell_event
x.b.b.q005,basic,cell_event
