´ŽèDrug Name	substance	rack.concentration	rack_position	volume	destination.well
DMSO	DMSO	1	11A	100	K23
DMSO	DMSO	0.04	11A	100	C24
DMSO	DMSO	0.0016	11A	100	K24
DMSO	DMSO	0.2	11A	100	E17
DMSO	DMSO	0.008	11A	100	G14
DMSO	DMSO	1	11A	100	J05
DMSO	DMSO	0.04	11A	100	M19
DMSO	DMSO	0.0016	11A	100	G05
DMSO	DMSO	0.2	11A	100	I14
DMSO	DMSO	0.008	11A	100	G12
DMSO	DMSO	1	11A	100	L02
DMSO	DMSO	0.04	11A	100	J02
DMSO	DMSO	0.0016	11A	100	C16
DMSO	DMSO	0.2	11A	100	B08
DMSO	DMSO	0.008	11A	100	G08
DMSO	DMSO	1	11A	100	E06
DMSO	DMSO	0.04	11A	100	L18
DMSO	DMSO	0.0016	11A	100	N10
DMSO	DMSO	0.2	11A	100	O06
DMSO	DMSO	0.008	11A	100	A17
DMSO	DMSO	1	11A	100	D10
DMSO	DMSO	0.04	11A	100	K09
DMSO	DMSO	0.0016	11A	100	M18
DMSO	DMSO	0.2	11A	100	G16
DMSO	DMSO	0.008	11A	100	B03
DMSO	DMSO	1	11A	100	I08
DMSO	DMSO	0.04	11A	100	P24
DMSO	DMSO	0.0016	11A	100	F16
DMSO	DMSO	0.2	11A	100	F03
DMSO	DMSO	0.008	11A	100	L06
DMSO	DMSO	1	11A	100	O22
DMSO	DMSO	0.04	11A	100	E13
Bortezomib	Drug1	1	C1	100	G02
Bortezomib	Drug1	0.04	C1	100	K13
Bortezomib	Drug1	0.0016	C1	100	P07
Bortezomib	Drug1	0.2	C1	100	C15
Bortezomib	Drug1	0.008	C1	100	G07
Defactinib	Drug10	0.0016	E7	100	A02
Defactinib	Drug10	0.04	E7	100	O02
Defactinib	Drug10	0.008	E7	100	M22
Defactinib	Drug10	0.2	E7	100	J16
Defactinib	Drug10	1	E7	100	C21
MK-8776/ SCH900776	Drug11	1	G5	100	K17
MK-8776/ SCH900776	Drug11	0.0016	G5	100	K03
MK-8776/ SCH900776	Drug11	0.008	G5	100	H07
MK-8776/ SCH900776	Drug11	0.04	G5	100	I05
MK-8776/ SCH900776	Drug11	0.2	G5	100	K20
17AAG	Drug12	0.2	G2	100	K16
17AAG	Drug12	1	G2	100	I21
17AAG	Drug12	0.0016	G2	100	E16
17AAG	Drug12	0.04	G2	100	O18
17AAG	Drug12	0.008	G2	100	K05
Crizotinib	Drug13	0.008	A2	100	L14
Crizotinib	Drug13	0.2	A2	100	H01
Crizotinib	Drug13	0.0016	A2	100	I24
Crizotinib	Drug13	0.04	A2	100	M09
Crizotinib	Drug13	1	A2	100	B02
Dacarbazine	Drug14	0.0016	G3	100	N08
Dacarbazine	Drug14	1	G3	100	G10
Dacarbazine	Drug14	0.008	G3	100	P05
Dacarbazine	Drug14	0.2	G3	100	F18
Dacarbazine	Drug14	0.04	G3	100	D03
Fludarabine	Drug15	1	D4	100	I06
Fludarabine	Drug15	0.008	D4	100	J22
Fludarabine	Drug15	0.0016	D4	100	J11
Fludarabine	Drug15	0.04	D4	100	O13
Fludarabine	Drug15	0.2	D4	100	J08
Gemcitabine	Drug16	0.008	F4	100	N22
Gemcitabine	Drug16	0.04	F4	100	A06
Gemcitabine	Drug16	0.0016	F4	100	C04
Gemcitabine	Drug16	1	F4	100	M03
Gemcitabine	Drug16	0.2	F4	100	P13
Miglitol	Drug17	0.04	E5	100	I09
Miglitol	Drug17	0.008	E5	100	F06
Miglitol	Drug17	0.2	E5	100	J15
Miglitol	Drug17	0.0016	E5	100	I23
Miglitol	Drug17	1	E5	100	P17
Mitomycin C	Drug18	0.04	E8	100	I10
Mitomycin C	Drug18	0.2	E8	100	L23
Mitomycin C	Drug18	1	E8	100	J10
Mitomycin C	Drug18	0.0016	E8	100	H23
Mitomycin C	Drug18	0.008	E8	100	H22
Bexaroten	Drug19	0.04	G4	100	A07
Bexaroten	Drug19	1	G4	100	E11
Bexaroten	Drug19	0.008	G4	100	C10
Bexaroten	Drug19	0.0016	G4	100	K18
Bexaroten	Drug19	0.2	G4	100	P10
Docetaxel	Drug2	0.0016	H2	100	H17
Docetaxel	Drug2	0.008	H2	100	M04
Docetaxel	Drug2	0.04	H2	100	B22
Docetaxel	Drug2	0.2	H2	100	H06
Docetaxel	Drug2	1	H2	100	C12
Alpelisib	Drug20	0.0016	B6	100	D24
Alpelisib	Drug20	1	B6	100	N21
Alpelisib	Drug20	0.2	B6	100	L07
Alpelisib	Drug20	0.008	B6	100	B23
Alpelisib	Drug20	0.04	B6	100	O07
AZD 4547	Drug21	0.04	H5	100	N03
AZD 4547	Drug21	1	H5	100	J04
AZD 4547	Drug21	0.2	H5	100	A18
AZD 4547	Drug21	0.0016	H5	100	B14
AZD 4547	Drug21	0.008	H5	100	M11
AZD 5363	Drug22	0.008	B8	100	B10
AZD 5363	Drug22	1	B8	100	J23
AZD 5363	Drug22	0.0016	B8	100	F19
AZD 5363	Drug22	0.2	B8	100	O01
AZD 5363	Drug22	0.04	B8	100	F17
Binimetinib	Drug23	1	H6	100	O24
Binimetinib	Drug23	0.008	H6	100	M13
Binimetinib	Drug23	0.0016	H6	100	O21
Binimetinib	Drug23	0.2	H6	100	K07
Binimetinib	Drug23	0.04	H6	100	G04
Birinapant	Drug24	1	A7	100	I12
Birinapant	Drug24	0.04	A7	100	H18
Birinapant	Drug24	0.2	A7	100	E14
Birinapant	Drug24	0.0016	A7	100	O14
Birinapant	Drug24	0.008	A7	100	G11
GSK2636771	Drug25	1	A8	100	P22
GSK2636771	Drug25	0.008	A8	100	C23
GSK2636771	Drug25	0.2	A8	100	C17
GSK2636771	Drug25	0.0016	A8	100	I02
GSK2636771	Drug25	0.04	A8	100	O20
Irinotecan / SN-38	Drug26	0.0016	F6	100	P14
Irinotecan / SN-38	Drug26	1	F6	100	E20
Irinotecan / SN-38	Drug26	0.2	F6	100	A15
Irinotecan / SN-38	Drug26	0.04	F6	100	B05
Irinotecan / SN-38	Drug26	0.008	F6	100	F05
Napabucasin	Drug27	0.0016	H7	100	I17
Napabucasin	Drug27	0.04	H7	100	O08
Napabucasin	Drug27	1	H7	100	G03
Napabucasin	Drug27	0.008	H7	100	P21
Napabucasin	Drug27	0.2	H7	100	F20
Ponatinib	Drug28	0.0016	C4	100	J03
Ponatinib	Drug28	0.04	C4	100	O12
Ponatinib	Drug28	0.2	C4	100	M02
Ponatinib	Drug28	0.008	C4	100	C03
Ponatinib	Drug28	1	C4	100	L12
Taselisib	Drug29	1	B7	100	A01
Taselisib	Drug29	0.008	B7	100	E01
Taselisib	Drug29	0.2	B7	100	C01
Taselisib	Drug29	0.04	B7	100	P11
Taselisib	Drug29	0.0016	B7	100	M06
Paclitaxel	Drug3	1	A3	100	N18
Paclitaxel	Drug3	0.2	A3	100	H19
Paclitaxel	Drug3	0.04	A3	100	B16
Paclitaxel	Drug3	0.008	A3	100	I01
Paclitaxel	Drug3	0.0016	A3	100	F07
Venetoclax	Drug30	0.008	C8	100	B21
Venetoclax	Drug30	0.2	C8	100	E10
Venetoclax	Drug30	0.0016	C8	100	C22
Venetoclax	Drug30	1	C8	100	H02
Venetoclax	Drug30	0.04	C8	100	C11
