"","Drug","Field","Line","ObjectID","OriginalX","OriginalY","Plate","Replicate","Size","Well","well","name","plate_barcode"
"1","DMSO","1","M001B04","18","1726.735173824131","1671.006134969325","M001B04P011L04","2","3912","L08","L_08","L04_L_08_contrastProjections.h5","M001B04P011L04"
"2","DMSO","4","M001B04","423","1458.4125812493114","254.62124049796188","M001B04P014L07","2","9077","E18","E_18","L07_E_18_contrastProjections.h5","M001B04P014L07"
"3","DMSO","3","M001B04","197","1846.136050021561","910.6239758516602","M001B04P005L04","1","9276","P20","P_20","L04_P_20_contrastProjections.h5","M001B04P005L04"
"4","DMSO","2","M001B04","148","965.2263151092154","198.03076127698074","M001B04P009L02","2","7737","D23","D_23","L02_D_23_contrastProjections.h5","M001B04P009L02"
"5","DMSO","3","M001B04","247","656.6001921932915","1259.3346451288153","M001B04P014L07","2","21853","E22","E_22","L07_E_22_contrastProjections.h5","M001B04P014L07"
"6","DMSO","2","M001B04","150","1066.378048780488","1744.1829268292684","M001B04P014L07","2","1312","K18","K_18","L07_K_18_contrastProjections.h5","M001B04P014L07"
"7","DMSO","4","M001B04","346","334.6502700838984","1449.562693943225","M001B04P004L03","1","8701","C24","C_24","L03_C_24_contrastProjections.h5","M001B04P004L03"
"8","DMSO","3","M001B04","350","387.54301833568405","1533.6071932299012","M001B04P009L02","2","2836","F20","F_20","L02_F_20_contrastProjections.h5","M001B04P009L02"
"9","DMSO","2","M001B04","111","670.6591626341258","545.0507048180096","M001B04P010L03","2","4753","A04","A_04","L03_A_04_contrastProjections.h5","M001B04P010L03"
"10","DMSO","3","M001B04","250","1461.8543129839727","1157.315685215199","M001B04P014L07","2","5553","A14","A_14","L07_A_14_contrastProjections.h5","M001B04P014L07"
"11","DMSO","2","M001B04","103","1455.9148482136711","973.5295656364012","M001B04P004L03","1","14527","F24","F_24","L03_F_24_contrastProjections.h5","M001B04P004L03"
"12","DMSO","4","M001B04","408","1464.8944425026214","1059.0734009087732","M001B04P014L07","2","2861","L24","L_24","L07_L_24_contrastProjections.h5","M001B04P014L07"
