"","x"
"1","PIK3C2B"
"2","DDIT4"
"3","FOXO4"
"4","HERC6"
"5","HDAC6"
"6","VAV3"
"7","CDK19"
"8","BAMBI"
"9","PRUNE"
"10","TRAK2"
"11","ABCB6"
"12","CGRRF1"
"13","SERPINA3"
"14","ERBB3"
"15","CBX5"
"16","DNAJB2"
"17","HSPB1"
"18","NUCB2"
"19","LGMN"
"20","FZD7"
"21","PIK3R3"
"22","MBNL2"
"23","UBE4B"
"24","CEBPA"
"25","B4GAT1"
"26","DDB2"
"27","TSC22D3"
"28","ERCC5"
"29","ALDH1A1"
"30","RAB11FIP2"
"31","WDTC1"
"32","SYNE2"
"33","KAT6B"
"34","MPC2"
"35","PHGDH"
"36","GATA3"
"37","SESN1"
"38","GNAI1"
"39","ANK3"
"40","HMOX1"
"41","HSD17B4"
"42","IDE"
"43","IK"
"44","MYLK"
"45","NDUFV2"
"46","NOTCH1"
"47","PDGFA"
"48","PHKB"
"49","NUDT9"
"50","FAM63A"
"51","DCAF6"
"52","BDH1"
"53","ABHD4"
"54","SHMT1"
"55","TF"
"56","TLE1"
"57","XIST"
"58","FBXO11"
"59","CBLB"
"60","SYNGR3"
"61","REPS2"
