"","x"
"1","PIK3C2B"
"2","HDAC6"
"3","FOXO4"
"4","UBE4B"
"5","CGRRF1"
"6","TSC22D3"
"7","ERBB2"
"8","ERCC5"
"9","FDXR"
"10","METTL7A"
"11","PHGDH"
"12","HMOX1"
"13","DCAF6"
"14","FXR1"
"15","PARP2"
"16","NCOA2"
"17","AARS"
"18","DDB2"
"19","EPB41L1"
"20","ERBB3"
"21","NLGN4Y"
"22","CDK19"
"23","CBX5"
"24","NUPR1"
"25","HSPB1"
"26","ARL3"
"27","MANBA"
"28","NUCB2"
"29","UBR5"
"30","DDIT4"
"31","WBP1L"
"32","GOLPH3L"
"33","IFT122"
"34","RBKS"
"35","C6orf106"
"36","TP53BP2"
"37","VAV3"
"38","BRD8"
"39","PIK3IP1"
"40","COL1A1"
"41","DAG1"
"42","EIF4EBP2"
"43","ELF1"
"44","PLCH1"
"45","TAB2"
"46","KAT6B"
"47","TSPAN15"
"48","KLHDC2"
"49","FTH1"
"50","BAMBI"
"51","GLB1"
"52","SESN1"
"53","RABL3"
"54","DNAJB2"
"55","IK"
"56","INPP5B"
"57","MAN2B1"
"58","MYBL2"
"59","NDUFV2"
"60","NFKBIA"
"61","HSD17B14"
"62","PDGFA"
"63","CCHCR1"
"64","LZTFL1"
"65","HERC6"
"66","MAP2K6"
"67","PRUNE"
"68","RNASEL"
"69","ABHD4"
"70","VIPAS39"
"71","PBLD"
"72","SHMT1"
"73","TLE1"
"74","NUDT18"
"75","CAMK2G"
"76","FZD7"
"77","CAT"
"78","PIK3R3"
"79","CBLB"
"80","CPNE1"
"81","TIMELESS"
"82","CLIC3"
"83","SYNGR3"
"84","ZMYM3"
"85","RHOBTB1"
"86","ARHGAP44"
"87","PAN2"
"88","CDC25C"
"89","AP1M2"
"90","KIF20A"
"91","CDKN1B"
"92","CDKN2C"
"93","SLC9A6"
"94","APPBP2"
"95","MSL3"
"96","PNRC1"
"97","B4GAT1"
"98","KATNA1"
"99","HHLA2"
"100","CEP250"
"101","SERPINA3"
"102","SBSPON"
"103","AKR1C1"
"104","DCP2"
"105","DUSP3"
"106","EPHX1"
"107","ALDH9A1"
"108","CPEB3"
"109","CEP152"
"110","FOXJ1"
"111","FOXO3"
"112","SYNE2"
"113","MTUS2"
"114","NEMP1"
"115","SRGAP2"
"116","SLC44A1"
"117","SEC14L2"
"118","DDAH2"
"119","TMEM2"
"120","DSTYK"
"121","TTLL1"
"122","MPC2"
"123","ZNF451"
"124","FBXO2"
"125","GATM"
"126","CYFIP2"
"127","TJP3"
"128","ZNF638"
"129","GNAS"
"130","SLC46A3"
"131","FAM149B1"
"132","ACACB"
"133","HOXA5"
"134","HOXC6"
"135","HSD17B4"
"136","ABCC6"
"137","LAMP1"
"138","MAL"
"139","CD99"
"140","NDUFA2"
"141","NDUFB4"
"142","ATOH1"
"143","NFIL3"
"144","NOTCH1"
"145","NRDC"
"146","NTM"
"147","AMDHD2"
"148","ASCC1"
"149","ING4"
"150","ZNF219"
"151","PHF20"
"152","PHF21A"
"153","GTSE1"
"154","PDK2"
"155","HIGD1B"
"156","PHKB"
"157","PTOV1"
"158","YIPF1"
"159","POR"
"160","KLHL24"
"161","CNNM2"
"162","CC2D1A"
"163","ANO10"
"164","SYBU"
"165","CDK5RAP2"
"166","FAM63A"
"167","FOXJ2"
"168","PROS1"
"169","LGMN"
"170","ACKR3"
"171","CAMK1D"
"172","CNOT6"
"173","MKL2"
"174","AGBL5"
"175","RPN2"
"176","ZBED8"
"177","ZSCAN31"
"178","SGCB"
"179","FBXW4"
"180","TRAK2"
"181","SPR"
"182","SPTAN1"
"183","SULT1E1"
"184","TSC1"
"185","UGDH"
"186","SLC25A23"
"187","FAM134A"
"188","SAP30L"
"189","SH3D21"
"190","PIGZ"
"191","CEP70"
"192","DCAF11"
"193","SYNC"
"194","TRMT1L"
"195","USP9X"
"196","USP9Y"
"197","APH1B"
"198","ANXA9"
"199","POLDIP3"
"200","GCM1"
"201","AKR1C3"
"202","NCOA1"
"203","SLC4A4"
"204","B3GALT4"
"205","TNFSF10"
"206","TRIM24"
"207","SQSTM1"
"208","CCNG1"
"209","SLC9A3R1"
"210","PRDX6"
"211","KIAA0430"
"212","TRAM2"
"213","SETD1A"
"214","C2CD5"
"215","ZBTB5"
"216","MVP"
